task id,run #,individual,model 2
359959,13,0.6081081081081081,0.6148648648648649
359959,9,0.6081081081081081,0.5675675675675675
168784,5,0.8358974358974359,0.8102564102564103
2073,6,0.7114093959731543,0.697986577181208
359959,5,0.5540540540540541,0.6013513513513513
168784,13,0.8461538461538461,0.8205128205128205
168784,1,0.8205128205128205,0.8256410256410256
359959,11,0.6081081081081081,0.581081081081081
359959,12,0.6148648648648649,0.6013513513513513
168784,12,0.8358974358974359,0.8461538461538461
359954,1,0.6621621621621622,0.6891891891891891
168784,4,0.8256410256410256,0.8051282051282052
190146,12,0.8941176470588236,0.8588235294117647
168784,6,0.8461538461538461,0.8205128205128205
359959,3,0.6081081081081081,0.5945945945945946
359959,14,0.5945945945945946,0.5743243243243243
190146,3,0.8941176470588236,0.8941176470588236
190146,4,0.8705882352941177,0.8705882352941177
359954,9,0.6756756756756757,0.6486486486486487
359954,6,0.6891891891891891,0.6891891891891891
168784,11,0.841025641025641,0.8307692307692308
2073,5,0.7248322147651006,0.7046979865771812
2073,11,0.7248322147651006,0.7046979865771812
190146,1,0.8941176470588236,0.8705882352941177
190146,7,0.8705882352941177,0.8941176470588236
190146,2,0.8941176470588236,0.8705882352941177
2073,4,0.7046979865771812,0.7114093959731543
168784,0,0.841025641025641,0.8512820512820513
359954,11,0.6891891891891891,0.6756756756756757
168784,2,0.8358974358974359,0.8256410256410256
359959,1,0.6081081081081081,0.6013513513513513
359954,4,0.7027027027027027,0.7297297297297297
168784,14,0.8512820512820513,0.8256410256410256
359954,13,0.7297297297297297,0.6486486486486487
359959,0,0.6351351351351351,0.6013513513513513
359954,3,0.7027027027027027,0.7027027027027027
359954,14,0.7027027027027027,0.7027027027027027
359959,10,0.6013513513513513,0.581081081081081
190146,0,0.8823529411764706,0.8823529411764706
190146,13,0.8705882352941177,0.8588235294117647
359954,12,0.6756756756756757,0.6891891891891891
359959,2,0.5878378378378378,0.6081081081081081
2073,3,0.7248322147651006,0.7248322147651006
190146,14,0.9176470588235294,0.8941176470588236
168784,10,0.8307692307692308,0.8307692307692308
168784,8,0.8358974358974359,0.8461538461538461
