task id,run #,individual
168784,9,0.8358974358974359
190146,1,0.8941176470588236
359959,3,0.581081081081081
2073,6,0.697986577181208
359959,1,0.5675675675675675
359954,7,0.7297297297297297
190146,12,0.8941176470588236
359959,11,0.5540540540540541
2073,13,0.6778523489932886
2073,7,0.7046979865771812
190146,2,0.8941176470588236
190146,14,0.8705882352941177
190146,13,0.8705882352941177
359959,9,0.5675675675675675
359954,0,0.6486486486486487
2073,14,0.6442953020134228
168784,4,0.8153846153846154
2073,4,0.6912751677852349
168784,1,0.8102564102564103
359954,4,0.7027027027027027
168784,13,0.8102564102564103
190146,10,0.8941176470588236
190146,3,0.8941176470588236
359954,14,0.6351351351351351
359959,14,0.5675675675675675
168784,6,0.8256410256410256
2073,0,0.6845637583892618
190146,4,0.8705882352941177
168784,12,0.8153846153846154
359959,10,0.5675675675675675
359954,2,0.6891891891891891
2073,10,0.6912751677852349
2073,9,0.697986577181208
168784,2,0.8051282051282052
2073,1,0.6778523489932886
359954,6,0.6756756756756757
190146,7,0.8705882352941177
190146,6,0.8941176470588236
168784,10,0.8205128205128205
2073,12,0.7046979865771812
168784,7,0.8153846153846154
359954,9,0.6081081081081081
168784,11,0.841025641025641
190146,0,0.8823529411764706
359959,4,0.5945945945945946
190146,9,0.8941176470588236
2073,8,0.6644295302013423
359954,8,0.7027027027027027
359959,2,0.5675675675675675
190146,11,0.8705882352941177
359959,8,0.581081081081081
359959,7,0.5743243243243243
359959,5,0.5540540540540541
359954,1,0.6351351351351351
359954,10,0.7027027027027027
359959,0,0.5878378378378378
168784,0,0.841025641025641
359954,11,0.6756756756756757
359954,5,0.6216216216216216
190146,8,0.8941176470588236
359959,6,0.5878378378378378
2073,3,0.7114093959731543
168784,5,0.8
168784,3,0.8307692307692308
2073,11,0.7248322147651006
2073,2,0.7248322147651006
168784,14,0.8307692307692308
2073,5,0.697986577181208
359959,13,0.581081081081081
359954,13,0.6756756756756757
168784,8,0.8358974358974359
359959,12,0.5135135135135135
190146,5,0.8941176470588236
359954,3,0.7027027027027027
359954,12,0.6351351351351351
