task_id,run_num,pipeline_index,accuracy,is_best,best_accuracy,correlation_with_best
359959,9,0,0.5675675675675675,False,0.6081081081081081,0.8024918498491685
359959,9,1,0.581081081081081,False,0.6081081081081081,0.7845887440085678
359959,9,2,0.581081081081081,False,0.6081081081081081,0.789016615420516
359959,9,3,0.5675675675675675,False,0.6081081081081081,0.8103850981714273
359959,9,4,0.5743243243243243,False,0.6081081081081081,0.7886414115675711
359959,9,5,0.5675675675675675,False,0.6081081081081081,0.807364255733567
359959,9,6,0.6081081081081081,True,0.6081081081081081,1.0
359959,9,7,0.5743243243243243,False,0.6081081081081081,0.7886414115675711
359959,9,8,0.5743243243243243,False,0.6081081081081081,0.8437941459734559
359959,9,9,0.5675675675675675,False,0.6081081081081081,0.8087890034964653
359959,9,10,0.5878378378378378,False,0.6081081081081081,0.7716368775008499
359959,9,11,0.5878378378378378,False,0.6081081081081081,0.9657971598753904
359959,9,12,0.6081081081081081,False,0.6081081081081081,0.9130288215747934
359959,9,13,0.5945945945945946,False,0.6081081081081081,0.9019175075963182
359959,9,14,0.5878378378378378,False,0.6081081081081081,0.7716368775008499
359959,9,15,0.5945945945945946,False,0.6081081081081081,0.8500397216299832
359959,9,16,0.5945945945945946,False,0.6081081081081081,0.8500397216299832
359959,9,17,0.581081081081081,False,0.6081081081081081,0.928284641489342
359959,9,18,0.5878378378378378,False,0.6081081081081081,0.7829027659974269
359959,3,0,0.5945945945945946,False,0.6081081081081081,0.935614663108063
359959,3,1,0.5945945945945946,False,0.6081081081081081,0.8607220414425343
359959,3,2,0.581081081081081,False,0.6081081081081081,0.7977916757293281
359959,3,3,0.6013513513513513,False,0.6081081081081081,0.7830005822176954
359959,3,4,0.6081081081081081,True,0.6081081081081081,1.0
168784,3,0,0.8102564102564103,False,0.8307692307692308,0.8557440944556228
168784,3,1,0.8205128205128205,False,0.8307692307692308,0.8801211072989549
168784,3,2,0.8307692307692308,True,0.8307692307692308,1.0
168784,3,3,0.8153846153846154,False,0.8307692307692308,0.8896180476317511
168784,3,4,0.8153846153846154,False,0.8307692307692308,0.8511119968880009
168784,3,5,0.8051282051282052,False,0.8307692307692308,0.866713307526525
168784,3,6,0.8307692307692308,False,0.8307692307692308,1.0
168784,3,7,0.8153846153846154,False,0.8307692307692308,0.8587087551714866
359959,1,0,0.5945945945945946,False,0.6081081081081081,0.912837090711234
359959,1,1,0.6081081081081081,True,0.6081081081081081,1.0
359959,1,2,0.5945945945945946,False,0.6081081081081081,0.7675449449693009
359959,1,3,0.6081081081081081,False,0.6081081081081081,1.0
359959,1,4,0.5608108108108109,False,0.6081081081081081,0.7911162936587448
359959,1,5,0.6081081081081081,False,0.6081081081081081,0.8836572948675604
359959,1,6,0.581081081081081,False,0.6081081081081081,0.7649175176959803
359959,1,7,0.5675675675675675,False,0.6081081081081081,0.8400822525697039
359954,7,0,0.6486486486486487,False,0.7297297297297297,0.7745573656831022
359954,7,1,0.7297297297297297,True,0.7297297297297297,1.0
359954,7,2,0.6486486486486487,False,0.7297297297297297,0.7745573656831022
359954,7,3,0.6891891891891891,False,0.7297297297297297,0.8898388867358517
359954,7,4,0.6621621621621622,False,0.7297297297297297,0.7293565596787709
359954,7,5,0.7162162162162162,False,0.7297297297297297,0.9324505785047849
359959,12,0,0.6148648648648649,True,0.6148648648648649,1.0
359959,12,1,0.581081081081081,False,0.6148648648648649,0.7848627316863916
359959,12,2,0.6148648648648649,False,0.6148648648648649,0.720999521979453
359959,12,3,0.581081081081081,False,0.6148648648648649,0.7861133751137028
359959,12,4,0.581081081081081,False,0.6148648648648649,0.7649744381679954
359959,12,5,0.5135135135135135,False,0.6148648648648649,0.67567774070595
359959,12,6,0.6148648648648649,False,0.6148648648648649,1.0
359959,12,7,0.5675675675675675,False,0.6148648648648649,0.7899392813461351
359959,12,8,0.5675675675675675,False,0.6148648648648649,0.81794093741715
359959,12,9,0.5743243243243243,False,0.6148648648648649,0.8883977098296617
359959,12,10,0.5743243243243243,False,0.6148648648648649,0.8014990959337076
359959,12,11,0.581081081081081,False,0.6148648648648649,0.7578265887422129
359954,3,0,0.6891891891891891,False,0.7027027027027027,0.7788483037469522
359954,3,1,0.6891891891891891,False,0.7027027027027027,0.8198017463211225
359954,3,2,0.7027027027027027,True,0.7027027027027027,1.0
359954,3,3,0.6891891891891891,False,0.7027027027027027,0.7824566150129977
359954,3,4,0.6351351351351351,False,0.7027027027027027,0.7876237105136381
359954,3,5,0.6756756756756757,False,0.7027027027027027,0.771526871096526
359954,3,6,0.6891891891891891,False,0.7027027027027027,0.8173603171633451
359954,3,7,0.7027027027027027,False,0.7027027027027027,0.7747054063945951
359954,3,8,0.7027027027027027,False,0.7027027027027027,0.8016194749774226
359954,3,9,0.6621621621621622,False,0.7027027027027027,0.922116405580278
359954,3,10,0.6756756756756757,False,0.7027027027027027,0.9342659890150922
2073,7,0,0.697986577181208,False,0.7181208053691275,0.8386754555141024
2073,7,1,0.697986577181208,False,0.7181208053691275,0.8386754555141024
2073,7,2,0.697986577181208,False,0.7181208053691275,0.8156672688492556
2073,7,3,0.7181208053691275,True,0.7181208053691275,1.0
2073,7,4,0.6912751677852349,False,0.7181208053691275,0.8024809967732403
2073,7,5,0.7046979865771812,False,0.7181208053691275,0.8038965338376668
359959,7,0,0.5878378378378378,False,0.5945945945945946,0.7874188193011468
359959,7,1,0.5945945945945946,True,0.5945945945945946,1.0
359959,7,2,0.5675675675675675,False,0.5945945945945946,0.7539611152601072
359959,7,3,0.581081081081081,False,0.5945945945945946,0.8131582291321098
359959,7,4,0.5608108108108109,False,0.5945945945945946,0.7820271896413885
359959,7,5,0.5945945945945946,False,0.5945945945945946,0.9555404884594708
359959,7,6,0.5675675675675675,False,0.5945945945945946,0.7717211415307575
359959,7,7,0.5743243243243243,False,0.5945945945945946,0.7822820572460125
359959,7,8,0.5945945945945946,False,0.5945945945945946,0.7933909826352271
359959,7,9,0.5540540540540541,False,0.5945945945945946,0.7267430568126105
359959,7,10,0.5743243243243243,False,0.5945945945945946,0.7643785125955016
359959,7,11,0.5608108108108109,False,0.5945945945945946,0.7443049757297902
2073,12,0,0.6912751677852349,False,0.7315436241610739,0.8223925788172474
2073,12,1,0.6577181208053692,False,0.7315436241610739,0.4826555402919179
2073,12,2,0.7181208053691275,False,0.7315436241610739,0.8069339446171818
2073,12,3,0.7315436241610739,True,0.7315436241610739,1.0
2073,12,4,0.6442953020134228,False,0.7315436241610739,0.3788970246882844
2073,12,5,0.6912751677852349,False,0.7315436241610739,0.8035937115809463
2073,12,6,0.6912751677852349,False,0.7315436241610739,0.8035937115809463
2073,12,7,0.7181208053691275,False,0.7315436241610739,0.8069339446171818
2073,12,8,0.7315436241610739,False,0.7315436241610739,1.0
2073,12,9,0.7046979865771812,False,0.7315436241610739,0.8232177769247011
2073,12,10,0.6845637583892618,False,0.7315436241610739,0.8013742501454315
2073,12,11,0.6845637583892618,False,0.7315436241610739,0.8126164820641671
2073,12,12,0.7114093959731543,False,0.7315436241610739,0.8710423884750697
2073,12,13,0.6845637583892618,False,0.7315436241610739,0.8126164820641671
2073,12,14,0.6845637583892618,False,0.7315436241610739,0.7335758055794471
168784,11,0,0.8051282051282052,False,0.841025641025641,0.963498858803964
168784,11,1,0.8307692307692308,False,0.841025641025641,0.9712002323563034
168784,11,2,0.8205128205128205,False,0.841025641025641,0.9757565800414588
168784,11,3,0.841025641025641,True,0.841025641025641,1.0
168784,11,4,0.8307692307692308,False,0.841025641025641,0.9787210482701147
168784,11,5,0.841025641025641,False,0.841025641025641,1.0
168784,11,6,0.8153846153846154,False,0.841025641025641,0.9648479606695766
168784,11,7,0.841025641025641,False,0.841025641025641,1.0
168784,10,0,0.8205128205128205,False,0.8307692307692308,0.8785168766958199
168784,10,1,0.8153846153846154,False,0.8307692307692308,0.9188855751685098
168784,10,2,0.8051282051282052,False,0.8307692307692308,0.9405877715513612
168784,10,3,0.8,False,0.8307692307692308,0.9143000903339372
168784,10,4,0.8307692307692308,True,0.8307692307692308,1.0
168784,10,5,0.7948717948717948,False,0.8307692307692308,0.8606485337311864
168784,10,6,0.8256410256410256,False,0.8307692307692308,0.9121159472820628
168784,10,7,0.8051282051282052,False,0.8307692307692308,0.8984186480756753
359954,4,0,0.6621621621621622,False,0.7027027027027027,0.7994949928659273
359954,4,1,0.7027027027027027,True,0.7027027027027027,1.0
359954,4,2,0.6756756756756757,False,0.7027027027027027,0.8181852053347103
359954,4,3,0.7027027027027027,False,0.7027027027027027,0.9133200320049631
190146,10,0,0.8705882352941177,False,0.8941176470588236,0.9773749589135012
190146,10,1,0.8941176470588236,True,0.8941176470588236,1.0
190146,10,2,0.8705882352941177,False,0.8941176470588236,0.9773749589135012
190146,10,3,0.8941176470588236,False,0.8941176470588236,0.9999999999999998
190146,10,4,0.8941176470588236,False,0.8941176470588236,0.9999999999999998
359959,13,0,0.5472972972972973,False,0.6081081081081081,0.5990567604416644
359959,13,1,0.6081081081081081,True,0.6081081081081081,1.0
359959,13,2,0.5675675675675675,False,0.6081081081081081,0.7981114909624273
359959,13,3,0.6013513513513513,False,0.6081081081081081,0.9953725566951463
359959,13,4,0.5878378378378378,False,0.6081081081081081,0.8256583379059598
359959,13,5,0.5743243243243243,False,0.6081081081081081,0.8047024037931471
359959,13,6,0.5945945945945946,False,0.6081081081081081,0.967139964645778
359959,13,7,0.5608108108108109,False,0.6081081081081081,0.7849470907185622
359959,13,8,0.6013513513513513,False,0.6081081081081081,0.7902452258317219
359959,13,9,0.5743243243243243,False,0.6081081081081081,0.8047024037931471
359959,13,10,0.5945945945945946,False,0.6081081081081081,0.7930606421261885
359959,13,11,0.581081081081081,False,0.6081081081081081,0.7805638428324954
359959,13,12,0.5743243243243243,False,0.6081081081081081,0.8047024037931471
359959,13,13,0.5743243243243243,False,0.6081081081081081,0.8047024037931471
359959,13,14,0.5472972972972973,False,0.6081081081081081,0.744907969793692
359959,13,15,0.5675675675675675,False,0.6081081081081081,0.7779926197775242
359959,13,16,0.5743243243243243,False,0.6081081081081081,0.8076176472260272
359959,13,17,0.5472972972972973,False,0.6081081081081081,0.5990567604416644
359959,13,18,0.5472972972972973,False,0.6081081081081081,0.5990567604416644
190146,13,0,0.8705882352941177,True,0.8705882352941177,1.0
190146,13,1,0.8705882352941177,False,0.8705882352941177,1.0
190146,0,0,0.8823529411764706,True,0.8823529411764706,1.0
359954,5,0,0.6216216216216216,False,0.6486486486486487,0.97747183291911
359954,5,1,0.6486486486486487,True,0.6486486486486487,1.0
359954,5,2,0.581081081081081,False,0.6486486486486487,0.943864713213713
359954,5,3,0.6216216216216216,False,0.6486486486486487,0.947038171489509
359954,5,4,0.6351351351351351,False,0.6486486486486487,0.9721507878511808
359954,5,5,0.6081081081081081,False,0.6486486486486487,0.943864713213713
190146,7,0,0.8705882352941177,True,0.8705882352941177,1.0
190146,7,1,0.8705882352941177,False,0.8705882352941177,1.0
190146,7,2,0.8705882352941177,False,0.8705882352941177,1.0
190146,7,3,0.8705882352941177,False,0.8705882352941177,1.0
190146,7,4,0.8705882352941177,False,0.8705882352941177,1.0
359954,0,0,0.6756756756756757,True,0.6756756756756757,1.0
359954,0,1,0.6756756756756757,False,0.6756756756756757,0.9758110648034648
359954,0,2,0.6486486486486487,False,0.6756756756756757,0.9132588616545602
359954,0,3,0.6486486486486487,False,0.6756756756756757,0.9516221296069296
359954,0,4,0.6621621621621622,False,0.6756756756756757,0.9744492974268092
359954,0,5,0.6621621621621622,False,0.6756756756756757,0.9715660688545878
168784,2,0,0.8153846153846154,False,0.8358974358974359,0.885347017498803
168784,2,1,0.8153846153846154,False,0.8358974358974359,0.885347017498803
168784,2,2,0.8205128205128205,False,0.8358974358974359,0.9195250520630908
168784,2,3,0.8153846153846154,False,0.8358974358974359,0.8881962658137019
168784,2,4,0.8205128205128205,False,0.8358974358974359,0.9068870339612184
168784,2,5,0.8051282051282052,False,0.8358974358974359,0.9511634768078092
168784,2,6,0.8153846153846154,False,0.8358974358974359,0.8881962658137019
168784,2,7,0.8051282051282052,False,0.8358974358974359,0.9511634768078092
168784,2,8,0.8358974358974359,True,0.8358974358974359,1.0
168784,2,9,0.8051282051282052,False,0.8358974358974359,0.9503633132905784
168784,2,10,0.8,False,0.8358974358974359,0.8882597053319664
168784,2,11,0.8256410256410256,False,0.8358974358974359,0.885207231851255
359954,9,0,0.6756756756756757,True,0.6756756756756757,1.0
359954,9,1,0.6756756756756757,False,0.6756756756756757,0.9625774455063256
359954,9,2,0.6756756756756757,False,0.6756756756756757,0.9625774455063256
359954,9,3,0.5945945945945946,False,0.6756756756756757,0.9810531706068104
359954,9,4,0.6081081081081081,False,0.6756756756756757,0.9846106110084148
168784,5,0,0.8307692307692308,False,0.8358974358974359,0.997095734286998
168784,5,1,0.8153846153846154,False,0.8358974358974359,0.8898550947642173
168784,5,2,0.8358974358974359,True,0.8358974358974359,1.0
168784,5,3,0.8051282051282052,False,0.8358974358974359,0.8505956341256589
168784,5,4,0.8,False,0.8358974358974359,0.8805811999170488
168784,5,5,0.8256410256410256,False,0.8358974358974359,0.9582833355764472
168784,5,6,0.8256410256410256,False,0.8358974358974359,0.8739573698546402
168784,5,7,0.7794871794871795,False,0.8358974358974359,0.8815807378920423
168784,5,8,0.8153846153846154,False,0.8358974358974359,0.9591657219565092
168784,5,9,0.7897435897435897,False,0.8358974358974359,0.8531875941529667
168784,5,10,0.8102564102564103,False,0.8358974358974359,0.8859348210524024
2073,8,0,0.7181208053691275,True,0.7181208053691275,1.0
2073,8,1,0.7114093959731543,False,0.7181208053691275,0.8024719626473964
2073,8,2,0.7114093959731543,False,0.7181208053691275,0.6464140474291533
2073,8,3,0.6912751677852349,False,0.7181208053691275,0.7664234426811085
2073,8,4,0.6778523489932886,False,0.7181208053691275,0.7027588982794711
2073,8,5,0.697986577181208,False,0.7181208053691275,0.8715420139223179
2073,8,6,0.7046979865771812,False,0.7181208053691275,0.7032376826474885
2073,8,7,0.6510067114093959,False,0.7181208053691275,0.669188212232442
2073,8,8,0.7181208053691275,False,0.7181208053691275,0.7708704410492608
2073,8,9,0.6644295302013423,False,0.7181208053691275,0.7317863424220463
2073,8,10,0.7114093959731543,False,0.7181208053691275,0.7867506765119595
2073,8,11,0.6778523489932886,False,0.7181208053691275,0.7007764249087788
2073,8,12,0.6845637583892618,False,0.7181208053691275,0.7047853357197229
359959,11,0,0.5878378378378378,False,0.6081081081081081,0.6874039938556059
359959,11,1,0.5878378378378378,False,0.6081081081081081,0.7976658052286265
359959,11,2,0.5878378378378378,False,0.6081081081081081,0.7976658052286265
359959,11,3,0.5540540540540541,False,0.6081081081081081,0.7246543561974961
359959,11,4,0.5878378378378378,False,0.6081081081081081,0.7963851806659279
359959,11,5,0.5878378378378378,False,0.6081081081081081,0.7976658052286265
359959,11,6,0.5878378378378378,False,0.6081081081081081,0.6874039938556059
359959,11,7,0.6081081081081081,True,0.6081081081081081,1.0
359959,11,8,0.5878378378378378,False,0.6081081081081081,0.6874039938556059
359959,11,9,0.5878378378378378,False,0.6081081081081081,0.8689169073865697
359959,11,10,0.6081081081081081,False,0.6081081081081081,0.8056760829773697
359959,11,11,0.6013513513513513,False,0.6081081081081081,0.8837808138386718
359959,11,12,0.5743243243243243,False,0.6081081081081081,0.7405287706068056
359959,11,13,0.5878378378378378,False,0.6081081081081081,0.6874039938556059
359959,11,14,0.5743243243243243,False,0.6081081081081081,0.7458131632065969
168784,13,0,0.8051282051282052,False,0.8461538461538461,0.8735656812472637
168784,13,1,0.8256410256410256,False,0.8461538461538461,0.8802798567462418
168784,13,2,0.8153846153846154,False,0.8461538461538461,0.929207041153367
168784,13,3,0.8205128205128205,False,0.8461538461538461,0.9495469049969468
168784,13,4,0.8307692307692308,False,0.8461538461538461,0.898696352298473
168784,13,5,0.8102564102564103,False,0.8461538461538461,0.8789288886507278
168784,13,6,0.8461538461538461,True,0.8461538461538461,1.0
168784,13,7,0.8051282051282052,False,0.8461538461538461,0.8783196321136422
168784,13,8,0.8102564102564103,False,0.8461538461538461,0.8332392533564119
168784,13,9,0.8205128205128205,False,0.8461538461538461,0.8351158036269963
168784,13,10,0.8102564102564103,False,0.8461538461538461,0.9233784274354244
2073,1,0,0.7248322147651006,True,0.7248322147651006,1.0
2073,1,1,0.7114093959731543,False,0.7248322147651006,0.8576371306071362
2073,1,2,0.6644295302013423,False,0.7248322147651006,0.6985671813207549
2073,1,3,0.6778523489932886,False,0.7248322147651006,0.7986423569355368
2073,1,4,0.6778523489932886,False,0.7248322147651006,0.7986423569355368
2073,1,5,0.7114093959731543,False,0.7248322147651006,0.8576371306071362
2073,1,6,0.7114093959731543,False,0.7248322147651006,0.8576371306071362
2073,1,7,0.7248322147651006,False,0.7248322147651006,0.8897105611752236
2073,1,8,0.7248322147651006,False,0.7248322147651006,0.8897105611752236
2073,1,9,0.7114093959731543,False,0.7248322147651006,0.8206705513730945
2073,1,10,0.6845637583892618,False,0.7248322147651006,0.8710893233190037
2073,1,11,0.6644295302013423,False,0.7248322147651006,0.6985671813207549
2073,1,12,0.6912751677852349,False,0.7248322147651006,0.8727516167904756
2073,1,13,0.7181208053691275,False,0.7248322147651006,0.841645268593828
2073,1,14,0.6778523489932886,False,0.7248322147651006,0.8532316230194942
2073,1,15,0.7046979865771812,False,0.7248322147651006,0.7854485403058399
2073,1,16,0.6778523489932886,False,0.7248322147651006,0.8532316230194942
190146,11,0,0.8941176470588236,True,0.8941176470588236,1.0
190146,11,1,0.8941176470588236,False,0.8941176470588236,0.9999999999999998
190146,11,2,0.8941176470588236,False,0.8941176470588236,0.9999999999999998
