task id,run #,individual,ensemble
allbp,13,0.9748344370860929,0.9748344370860929
hypothyroid,14,0.9652448657187994,0.990521327014218
hypothyroid,19,0.9747235387045814,0.9873617693522908
allhyper,8,0.9933774834437086,0.981456953642384
allrep,10,0.9867549668874172,0.9854304635761588
allhyper,13,0.9841059602649008,0.9894039735099338
allrep,9,0.9867549668874172,0.9867549668874172
allrep,0,0.9894039735099338,0.9854304635761588
allbp,2,0.976158940397351,0.9721854304635762
allbp,8,0.9682119205298012,0.9721854304635762
allrep,18,0.9894039735099338,0.9894039735099338
dis,2,0.9854304635761588,0.990728476821192
hypothyroid,17,0.976303317535545,0.9921011058451816
allrep,13,0.990728476821192,0.9880794701986756
allrep,1,0.9894039735099338,0.9894039735099338
dis,17,0.970860927152318,0.9894039735099338
allbp,15,0.976158940397351,0.9748344370860929
allhyper,20,0.990728476821192,0.9933774834437086
allhyper,12,0.9880794701986756,0.9880794701986756
allbp,11,0.976158940397351,0.9748344370860929
dis,16,0.9788079470198676,0.9894039735099338
hypothyroid,11,0.976303317535545,0.9842022116903634
hypothyroid,0,0.9826224328593997,0.9842022116903634
dis,14,0.9867549668874172,0.9880794701986756
hypothyroid,18,0.971563981042654,0.990521327014218
hypothyroid,15,0.981042654028436,0.9889415481832544
allhyper,11,0.9867549668874172,0.9867549668874172
allbp,19,0.9774834437086092,0.9735099337748344
allhyper,6,0.9854304635761588,0.9841059602649008
allbp,17,0.9788079470198676,0.9774834437086092
allrep,6,0.9880794701986756,0.9894039735099338
allhyper,0,0.9894039735099338,0.9867549668874172
allrep,7,0.9894039735099338,0.9894039735099338
dis,7,0.9841059602649008,0.9894039735099338
dis,8,0.9894039735099338,0.9867549668874172
allhyper,19,0.9774834437086092,0.9854304635761588
allbp,9,0.9735099337748344,0.976158940397351
hypothyroid,10,0.9747235387045814,0.9873617693522908
allbp,6,0.9774834437086092,0.9721854304635762
hypothyroid,9,0.985781990521327,0.985781990521327
allhyper,7,0.9827814569536424,0.9933774834437086
allhyper,9,0.9841059602649008,0.9894039735099338
allbp,3,0.976158940397351,0.9748344370860929
dis,10,0.9894039735099338,0.9880794701986756
allhyper,5,0.9933774834437086,0.9894039735099338
dis,9,0.990728476821192,0.9867549668874172
allbp,0,0.9735099337748344,0.9721854304635762
allrep,12,0.9867549668874172,0.9880794701986756
allbp,10,0.976158940397351,0.976158940397351
allhyper,18,0.9788079470198676,0.9867549668874172
allrep,8,0.9880794701986756,0.9894039735099338
hypothyroid,20,0.9794628751974724,0.990521327014218
allbp,1,0.9721854304635762,0.9748344370860929
allrep,4,0.9894039735099338,0.981456953642384
allrep,3,0.9894039735099338,0.9894039735099338
hypothyroid,3,0.957345971563981,0.990521327014218
allhyper,1,0.990728476821192,0.9854304635761588
allbp,12,0.9748344370860929,0.9774834437086092
hypothyroid,6,0.9794628751974724,0.9889415481832544
dis,15,0.9801324503311258,0.9894039735099338
allrep,2,0.9721854304635762,0.9801324503311258
dis,13,0.9880794701986756,0.9867549668874172
hypothyroid,12,0.9541864139020536,0.990521327014218
hypothyroid,2,0.9684044233807269,0.9842022116903634
dis,6,0.9801324503311258,0.9867549668874172
allbp,14,0.9774834437086092,0.976158940397351
allbp,18,0.9748344370860929,0.9721854304635762
allrep,20,0.9854304635761588,0.9880794701986756
allrep,15,0.9854304635761588,0.9880794701986756
hypothyroid,16,0.9747235387045814,0.985781990521327
allbp,20,0.9695364238410596,0.9748344370860929
allhyper,10,0.9788079470198676,0.9894039735099338
dis,5,0.9880794701986756,0.9880794701986756
dis,1,0.9841059602649008,0.9920529801324504
dis,12,0.9867549668874172,0.9880794701986756
allrep,5,0.9867549668874172,0.9854304635761588
allhyper,14,0.9933774834437086,0.9867549668874172
hypothyroid,8,0.957345971563981,0.990521327014218
hypothyroid,7,0.9826224328593997,0.9794628751974724
allhyper,4,0.9854304635761588,0.9854304635761588
dis,4,0.9774834437086092,0.990728476821192
allrep,19,0.9894039735099338,0.9867549668874172
dis,3,0.9867549668874172,0.9933774834437086
allrep,16,0.9854304635761588,0.9894039735099338
allhyper,15,0.9867549668874172,0.9867549668874172
hypothyroid,4,0.990521327014218,0.9794628751974724
dis,11,0.9920529801324504,0.9880794701986756
dis,0,0.990728476821192,0.9920529801324504
dis,20,0.990728476821192,0.990728476821192
hypothyroid,13,0.9794628751974724,0.985781990521327
hypothyroid,1,0.976303317535545,0.9921011058451816
allhyper,17,0.9933774834437086,0.9854304635761588
dis,19,0.9867549668874172,0.9880794701986756
allbp,4,0.9655629139072848,0.9748344370860929
allrep,14,0.9894039735099338,0.9894039735099338
allbp,5,0.9748344370860929,0.9748344370860929
allrep,17,0.9867549668874172,0.9894039735099338
allbp,7,0.9774834437086092,0.976158940397351
allrep,11,0.9721854304635762,0.9827814569536424
allbp,16,0.976158940397351,0.9735099337748344
allhyper,16,0.990728476821192,0.9867549668874172
dis,18,0.9894039735099338,0.9867549668874172
allhyper,3,0.981456953642384,0.9827814569536424
allhyper,2,0.9920529801324504,0.9841059602649008
