task id,run #,num clusters,individual,ensemble
2073,4,800,0.7181208053691275,0.7449664429530202
2073,4,600,0.7181208053691275,0.7315436241610739
2073,4,400,0.7181208053691275,0.7315436241610739
2073,4,200,0.7181208053691275,0.738255033557047
2073,4,100,0.7181208053691275,0.6711409395973155
2073,4,50,0.7181208053691275,0.7315436241610739
2073,4,25,0.7181208053691275,0.7181208053691275
2073,4,10,0.7181208053691275,0.7248322147651006
168784,9,800,0.8358974358974359,0.8256410256410256
168784,9,600,0.8358974358974359,0.8205128205128205
168784,9,400,0.8358974358974359,0.8256410256410256
168784,9,200,0.8358974358974359,0.8102564102564103
168784,9,100,0.8358974358974359,0.8256410256410256
168784,9,50,0.8358974358974359,0.8358974358974359
168784,9,25,0.8358974358974359,0.8307692307692308
168784,9,10,0.8358974358974359,0.8461538461538461
190146,14,800,0.8588235294117647,0.8352941176470589
190146,14,600,0.8588235294117647,0.8352941176470589
190146,14,400,0.8588235294117647,0.8352941176470589
190146,14,200,0.8588235294117647,0.8235294117647058
190146,14,100,0.8588235294117647,0.8
190146,14,50,0.8588235294117647,0.8117647058823529
190146,14,25,0.8588235294117647,0.8352941176470589
190146,14,10,0.8588235294117647,0.8588235294117647
2073,2,800,0.6845637583892618,0.7114093959731543
2073,2,600,0.6845637583892618,0.7114093959731543
2073,2,400,0.6845637583892618,0.7114093959731543
2073,2,200,0.6845637583892618,0.7046979865771812
2073,2,100,0.6845637583892618,0.7114093959731543
2073,2,50,0.6845637583892618,0.7114093959731543
2073,2,25,0.6845637583892618,0.7181208053691275
2073,2,10,0.6845637583892618,0.6778523489932886
190146,10,800,0.8705882352941177,0.8352941176470589
190146,10,600,0.8705882352941177,0.8352941176470589
190146,10,400,0.8705882352941177,0.8235294117647058
190146,10,200,0.8705882352941177,0.8117647058823529
190146,10,100,0.8705882352941177,0.8235294117647058
190146,10,50,0.8705882352941177,0.8470588235294118
190146,10,25,0.8705882352941177,0.8117647058823529
190146,10,10,0.8705882352941177,0.8352941176470589
359959,8,800,0.5540540540540541,0.5675675675675675
359959,8,600,0.5540540540540541,0.5878378378378378
359959,8,400,0.5540540540540541,0.5405405405405406
359959,8,200,0.5540540540540541,0.5675675675675675
359959,8,100,0.5540540540540541,0.5337837837837838
359959,8,50,0.5540540540540541,0.5472972972972973
359959,8,25,0.5540540540540541,0.5202702702702703
359959,8,10,0.5540540540540541,0.5
2073,8,800,0.6510067114093959,0.7181208053691275
2073,8,600,0.6510067114093959,0.7181208053691275
2073,8,400,0.6510067114093959,0.7046979865771812
2073,8,200,0.6510067114093959,0.697986577181208
2073,8,100,0.6510067114093959,0.7315436241610739
2073,8,50,0.6510067114093959,0.7114093959731543
2073,8,25,0.6510067114093959,0.7046979865771812
2073,8,10,0.6510067114093959,0.6912751677852349
359954,13,800,0.6486486486486487,0.6756756756756757
359954,13,600,0.6486486486486487,0.6621621621621622
359954,13,400,0.6486486486486487,0.6756756756756757
359954,13,200,0.6486486486486487,0.6351351351351351
359954,13,100,0.6486486486486487,0.6756756756756757
359954,13,50,0.6486486486486487,0.6891891891891891
359954,13,25,0.6486486486486487,0.7162162162162162
359954,13,10,0.6486486486486487,0.6621621621621622
2073,1,800,0.6711409395973155,0.7516778523489933
2073,1,600,0.6711409395973155,0.7516778523489933
2073,1,400,0.6711409395973155,0.7114093959731543
2073,1,200,0.6711409395973155,0.7114093959731543
2073,1,100,0.6711409395973155,0.7114093959731543
2073,1,50,0.6711409395973155,0.7114093959731543
2073,1,25,0.6711409395973155,0.7248322147651006
2073,1,10,0.6711409395973155,0.738255033557047
359954,10,800,0.7027027027027027,0.6621621621621622
359954,10,600,0.7027027027027027,0.6486486486486487
359954,10,400,0.7027027027027027,0.7027027027027027
359954,10,200,0.7027027027027027,0.6891891891891891
359954,10,100,0.7027027027027027,0.6891891891891891
359954,10,50,0.7027027027027027,0.7027027027027027
359954,10,25,0.7027027027027027,0.6621621621621622
359954,10,10,0.7027027027027027,0.7162162162162162
190146,20,800,0.8588235294117647,0.8588235294117647
190146,20,600,0.8588235294117647,0.8588235294117647
190146,20,400,0.8588235294117647,0.8588235294117647
190146,20,200,0.8588235294117647,0.8235294117647058
190146,20,100,0.8588235294117647,0.8352941176470589
190146,20,50,0.8588235294117647,0.8352941176470589
190146,20,25,0.8588235294117647,0.8235294117647058
190146,20,10,0.8588235294117647,0.8117647058823529
359954,5,800,0.7027027027027027,0.6756756756756757
359954,5,600,0.7027027027027027,0.6756756756756757
359954,5,400,0.7027027027027027,0.6756756756756757
359954,5,200,0.7027027027027027,0.6621621621621622
359954,5,100,0.7027027027027027,0.6891891891891891
359954,5,50,0.7027027027027027,0.6621621621621622
359954,5,25,0.7027027027027027,0.6486486486486487
359954,5,10,0.7027027027027027,0.6891891891891891
190146,17,800,0.8705882352941177,0.8470588235294118
190146,17,600,0.8705882352941177,0.8470588235294118
190146,17,400,0.8705882352941177,0.8470588235294118
190146,17,200,0.8705882352941177,0.8352941176470589
190146,17,100,0.8705882352941177,0.8352941176470589
190146,17,50,0.8705882352941177,0.8235294117647058
190146,17,25,0.8705882352941177,0.8352941176470589
190146,17,10,0.8705882352941177,0.8352941176470589
168784,5,800,0.8205128205128205,0.8256410256410256
168784,5,600,0.8205128205128205,0.8256410256410256
168784,5,400,0.8205128205128205,0.8256410256410256
168784,5,200,0.8205128205128205,0.8205128205128205
168784,5,100,0.8205128205128205,0.8358974358974359
168784,5,50,0.8205128205128205,0.8205128205128205
168784,5,25,0.8205128205128205,0.8307692307692308
168784,5,10,0.8205128205128205,0.8153846153846154
190146,13,800,0.8705882352941177,0.8352941176470589
190146,13,600,0.8705882352941177,0.8352941176470589
190146,13,400,0.8705882352941177,0.8352941176470589
190146,13,200,0.8705882352941177,0.8352941176470589
190146,13,100,0.8705882352941177,0.8235294117647058
190146,13,50,0.8705882352941177,0.8352941176470589
190146,13,25,0.8705882352941177,0.8117647058823529
190146,13,10,0.8705882352941177,0.8117647058823529
359959,4,800,0.5878378378378378,0.5878378378378378
