task id,run #,individual,model 1,model 2,model 3,model 4,model 5
168784,11,0.8358974358974359,0.8358974358974359,0.8358974358974359,0.8564102564102564,0.841025641025641,0.8358974358974359
168784,1,0.8512820512820513,0.8102564102564103,0.8153846153846154,0.8256410256410256,0.8205128205128205,0.8102564102564103
190146,0,0.8823529411764706,0.9294117647058824,0.8823529411764706,0.9176470588235294,0.8705882352941177,0.8705882352941177
359954,5,0.7162162162162162,0.6891891891891891,0.6621621621621622,0.6486486486486487,0.6621621621621622,0.6756756756756757
359954,3,0.7162162162162162,0.6621621621621622,0.6351351351351351,0.6351351351351351,0.6486486486486487,0.6756756756756757
359959,1,0.6216216216216216,0.581081081081081,0.5135135135135135,0.527027027027027,0.5472972972972973,0.6013513513513513
359959,6,0.6081081081081081,0.5135135135135135,0.5472972972972973,0.527027027027027,0.5472972972972973,0.5540540540540541
190146,1,0.9058823529411764,0.8941176470588236,0.8705882352941177,0.8823529411764706,0.8823529411764706,0.8941176470588236
359959,7,0.6013513513513513,0.5472972972972973,0.527027027027027,0.5405405405405406,0.5405405405405406,0.581081081081081
190146,4,0.8941176470588236,0.8470588235294118,0.8470588235294118,0.8470588235294118,0.8470588235294118,0.8235294117647058
2073,4,0.7114093959731543,0.6778523489932886,0.6912751677852349,0.6644295302013423,0.6778523489932886,0.7114093959731543
359959,13,0.6013513513513513,0.5135135135135135,0.5067567567567568,0.5540540540540541,0.5337837837837838,0.5
359954,7,0.7567567567567568,0.6486486486486487,0.6756756756756757,0.6621621621621622,0.6621621621621622,0.6486486486486487
190146,5,0.8823529411764706,0.8823529411764706,0.9058823529411764,0.9058823529411764,0.8941176470588236,0.9058823529411764
