task id,run #,individual,model 2
2073,7,0.7114093959731543,0.7046979865771812
168784,5,0.8153846153846154,0.8358974358974359
190146,0,0.8705882352941177,0.8705882352941177
190146,2,0.8823529411764706,0.8705882352941177
359954,3,0.6891891891891891,0.6756756756756757
359959,3,0.581081081081081,0.5608108108108109
2073,5,0.7181208053691275,0.697986577181208
359954,8,0.6756756756756757,0.6486486486486487
2073,9,0.7046979865771812,0.6845637583892618
190146,6,0.8705882352941177,0.8705882352941177
168784,4,0.8205128205128205,0.8358974358974359
168784,0,0.8153846153846154,0.8358974358974359
2073,6,0.738255033557047,0.697986577181208
359954,5,0.7162162162162162,0.6756756756756757
359959,5,0.581081081081081,0.5743243243243243
168784,7,0.8307692307692308,0.8205128205128205
168784,1,0.8512820512820513,0.841025641025641
2073,0,0.6711409395973155,0.7315436241610739
359954,9,0.6756756756756757,0.6621621621621622
190146,7,0.8705882352941177,0.8705882352941177
168784,6,0.8256410256410256,0.8102564102564103
168784,9,0.8153846153846154,0.8256410256410256
190146,4,0.8941176470588236,0.8941176470588236
190146,5,0.8823529411764706,0.8823529411764706
190146,1,0.8823529411764706,0.8823529411764706
359954,4,0.6756756756756757,0.6486486486486487
359954,6,0.6486486486486487,0.6621621621621622
359959,6,0.5675675675675675,0.5945945945945946
359959,0,0.6013513513513513,0.6013513513513513
190146,9,0.8705882352941177,0.8705882352941177
359954,2,0.6351351351351351,0.7297297297297297
359959,9,0.6081081081081081,0.6216216216216216
2073,2,0.6644295302013423,0.7181208053691275
359954,0,0.6621621621621622,0.6621621621621622
2073,4,0.6912751677852349,0.7248322147651006
359954,7,0.7297297297297297,0.6621621621621622
359959,7,0.5878378378378378,0.6148648648648649
2073,1,0.7046979865771812,0.7046979865771812
168784,8,0.8153846153846154,0.8153846153846154
359959,8,0.5540540540540541,0.5540540540540541
168784,2,0.8358974358974359,0.8666666666666667
359959,4,0.5405405405405406,0.5743243243243243
359954,1,0.6351351351351351,0.7027027027027027
359959,2,0.5743243243243243,0.581081081081081
2073,8,0.6711409395973155,0.7046979865771812
2073,3,0.7248322147651006,0.7181208053691275
359959,1,0.5945945945945946,0.5878378378378378
190146,8,0.8705882352941177,0.8705882352941177
168784,3,0.8256410256410256,0.8256410256410256
190146,3,0.8941176470588236,0.8823529411764706
